id,@id,addr:city,admin_level,alt_name,border_type,boundary,city,designation,district,is_in:city,kaynak,name,name:en,name:ku,name:ru,network,note,old_name,place,population,population:date,source,type,wall:material,@relations,wikidata,wikimedia_commons,wikipedia
relation/6695623,relation/6695623,,"8",,,administrative,,,,,,Kayı Mahallesi,,,,,,,,,,,boundary,,,Q97389474,,
relation/6696868,relation/6696868,,"8",,,administrative,,,,,,Alpagut Mahallesi,,,,,,,,,,,boundary,,,Q4734751,,
relation/6696882,relation/6696882,,"8",,,administrative,,,,,,Güvenç Mahallesi,,,,,,,,,,,boundary,,,Q4831091,,
relation/6696883,relation/6696883,,"8",,,administrative,,,,,,Yıldırımbeyazıt Mahallesi,,,,,,,,,,,boundary,,,Q97389585,,
relation/6698581,relation/6698581,,"8",,,administrative,,,,,,Kumpınar Mahallesi,,,,,,,,,,,boundary,,,Q6444034,,
relation/6698617,relation/6698617,,"8",,,administrative,,,,,,Yavuz Sultan Selim Mahallesi,,,,,,,,,,,boundary,,,Q97389565,,
relation/6698636,relation/6698636,,"8",,,administrative,,,,,,Yassıören Mahallesi,,,,,,,,,,,boundary,,,Q8004219,,
relation/6698656,relation/6698656,,"8",,,administrative,,,,,,Sarıayak Mahallesi,,,,,,,,,,,boundary,,,Q4831063,,
relation/6698737,relation/6698737,,"8",,,administrative,,,,,,Soğucak Mahallesi,,,,,,,,,,,boundary,,,Q7572089,,
relation/6699085,relation/6699085,,"8",,,administrative,,,,,,Tekke Mahallesi,,,,,,,,,,,boundary,,,Q4832408,,
relation/6699088,relation/6699088,,"8",,,administrative,,,,,,Dutözü Mahallesi,,,,,,,,,,,boundary,,,Q4832460,,
relation/6702049,relation/6702049,,"8",,,administrative,,,,,,İçören Mahallesi,,,,,,,,,,,boundary,,,Q8080283,,
relation/6704073,relation/6704073,,"8",,,administrative,,,,,,Akçaören Mahallesi,,,,,,,,,,,boundary,,,Q4702095,,
relation/6704074,relation/6704074,,"8",,,administrative,,,,,,Aşağıkaraören Mahallesi,,,,,,,,,,,boundary,,,Q6884622,,
relation/6705395,relation/6705395,,"8",,,administrative,,,,,,Uçarı Mahallesi,,,,,,,,,,,boundary,,,Q7905303,,
relation/6705406,relation/6705406,,"8",,,administrative,,,,,,İnceğiz Mahallesi,,,,,,,,,,,boundary,,,Q4831741,,
relation/6706705,relation/6706705,,"8",,,administrative,,,,,,Saraç Mahallesi,,,,,,,,,,,boundary,,,Q7423476,,
relation/6706751,relation/6706751,,"8",,,administrative,,,,,,Yayalar Mahallesi,,,,,,,,,,,boundary,,,Q8050509,,
relation/6706799,relation/6706799,,"8",,,administrative,,,,,,Yakupderviş Maallesi,,,,,,,,,,,boundary,,,Q4832080,,
relation/6707047,relation/6707047,,"8",,,administrative,,,,,,Ahi Mahallesi,,,,,,,,,,,boundary,,,Q4695091,,
relation/6707071,relation/6707071,,"8",,,administrative,,,,,,Sancar Mahallesi,,,,,,,,,,,boundary,,,Q7415605,,"tr:Sancar, Kahramankazan"
relation/6707199,relation/6707199,,"8",,,administrative,,,,,,Peçenek Mahallesi,,,,,,,,,,,boundary,,,Q7179679,,
relation/6707388,relation/6707388,,"8",,,administrative,,,,,,Kılıçlar Mahallesi,,,,,,,,,,,boundary,,,Q4831658,,
relation/6725996,relation/6725996,,"8",,,administrative,,,,,,Atatürk Mahallesi,,,,,,,,,,,boundary,,,Q97320575,,"tr:Atatürk, Sincan"
relation/6726010,relation/6726010,,"8",Mareşal Çakmak Mahallesi,,administrative,,,,,,Maraşal Çakmak Mahallesi,,,,,,,,,,,boundary,,,Q97320788,,
relation/6726011,relation/6726011,,"8",,,administrative,,,,,,Andiçen Mahallesi,,,,,,,,,,,boundary,,,Q97220005,,"tr:Andiçen, Sincan"
relation/6726055,relation/6726055,,"8",,,administrative,,,,,,Osmanlı Mahallesi,,,,,,,,,,,boundary,,,Q109390492,,"tr:Osmanlı, Sincan"
relation/6726111,relation/6726111,,"8",,,administrative,,,,,,Pınarbaşı Mahallesi,,,,,,,,,,,boundary,,,Q19612274,"Category:Pınarbaşı, Keçiören","tr:Pınarbaşı, Keçiören"
relation/6726112,relation/6726112,,"8",,,administrative,,,,,,Ertuğrulgazi Mahallesi,,,,,,,,,,,boundary,,,Q109390484,,
relation/6726163,relation/6726163,,"8",,,administrative,,,,,,Selçuklu Mahallesi,,,,,,,,,,,boundary,,,Q109390494,"Category:Selçuklu, Sincan","tr:Selçuklu, Sincan"
relation/6726164,relation/6726164,,"8",,,administrative,,,,,,Plevne Mahallesi,,,,,,,,,,,boundary,,,Q97320810,,
relation/6726193,relation/6726193,,"8",,,administrative,,,,,,Akşemsettin Mahallesi,,,,,,,,,,,boundary,,,Q97320559,,
relation/6726260,relation/6726260,,"8",,,administrative,,,,,,İstasyon Mahallesi,,,,,,,,,,,boundary,,,Q97320888,,
relation/6726365,relation/6726365,,"8",,,administrative,,,,,,Ahi Evran Mahallesi,,,,,,,,,,,boundary,,,Q97229794,,
relation/6726470,relation/6726470,,"8",,,administrative,,,,,,Yunus Emre Mahallesi,,,,,,,,,,,boundary,,,Q97232783,,
relation/6726508,relation/6726508,,"8",,,administrative,,,,,,Ulubatlı Hasan Mahallesi,,,,,,,,,,,boundary,,,Q109389475,,
relation/6726590,relation/6726590,,"8",,,administrative,,,,,,Fatih Mahallesi,,,,,,,,,,,boundary,,,Q6012112,,
relation/6728445,relation/6728445,,"8",,,administrative,,,,,,Gökçek Mahallesi,,,,,,,,,,,boundary,,,Q97221400,,
